districtid,monthid,statemean,statestdev
258,5,7208.26,15330.94
258,6,10743.5,16364.88
258,7,2644.15,3754.42
259,1,0,0.0
259,2,0,0.0
259,3,1.8,5.03
259,4,31,51.01
259,5,71.7,113.82
259,6,106.8,233.63
259,7,10.7,26.69
260,1,0,0.0
260,2,13,67.37
260,3,576.31,2436.82
260,4,1917.59,7621.66
260,5,4265.97,7253.29
260,6,4875.09,6314.59
260,7,808.31,979.25
261,1,0,0.0
261,2,10.49,45.15
261,3,106.8,312.87
261,4,107.73,248.97
261,5,356.96,638.03
261,6,628.47,1041.34
261,7,154.41,250.0
262,1,0,0.0
262,2,0,0.0
262,3,1,1.41
262,4,99,8.49
262,5,434.5,36.06
262,6,533.5,99.7
262,7,76.5,4.95
263,1,0,0.0
263,2,4.79,9.01
263,3,96.16,85.15
263,4,262.05,210.29
263,5,666.84,824.16
263,6,904.42,1034.01
263,7,235.47,366.27
264,1,0,0.0
264,2,1.22,5.42
264,3,22.74,27.06
264,4,80.39,82.08
264,5,379.17,438.72
264,6,1296.04,1389.05
264,7,350.74,582.1
265,1,0,0.0
265,2,12.41,30.82
265,3,182.06,262.53
265,4,281.03,376.29
265,5,745.09,945.29
265,6,1223.28,1417.71
265,7,236.25,331.15
266,1,0,0.0
266,2,0.12,0.59
266,3,17.04,18.31
266,4,84.73,94.0
266,5,221.54,501.99
266,6,760.04,1595.77
