districtid,monthid,neighborhoodzscore,statezscore
162,3,-0.57,-0.64
162,4,0.55,-0.4
162,5,1.42,-0.31
162,6,0.87,-0.26
162,7,3.1,0.46
163,1,0.0,0.0
163,2,-0.49,-0.4
163,3,-0.61,-0.35
163,4,-0.34,-0.06
163,5,-0.22,0.32
163,6,-0.34,-0.25
163,7,-0.44,-0.41
164,1,0.0,0.0
164,2,-0.52,-0.66
164,3,-1.09,-0.88
164,4,-0.69,-0.63
164,5,-0.56,-0.56
164,6,-0.54,-0.47
164,7,-0.71,-0.7
165,1,0.0,0.0
165,2,-0.58,-0.19
165,3,-0.54,-0.25
165,4,-0.57,-0.18
165,5,-0.43,0.31
165,6,-0.59,-0.14
165,7,-0.66,-0.27
166,1,0.0,0.0
166,2,-0.41,-0.2
166,3,-0.36,-0.85
166,4,-0.8,-0.91
166,5,-0.36,-0.09
166,6,-0.39,-0.11
166,7,-0.19,-0.34
167,1,0.0,0.0
167,2,-0.67,-0.35
167,3,2.42,0.96
167,4,1.29,-0.09
167,5,-0.05,-0.26
167,6,0.15,-0.17
167,7,-0.06,-0.32
168,1,0.0,0.0
168,2,0.56,-0.47
168,3,0.31,-0.53
168,4,-0.12,-0.58
168,5,1.21,-0.39
168,6,5.32,0.19
168,7,2.85,0.4
169,1,0.0,0.0
169,2,-0.47,-0.25
169,3,-0.49,-0.28
169,4,-0.51,-0.38
169,5,-0.73,-0.43
169,6,-0.52,-0.41
169,7,-0.8,-0.55
170,1,0.0,0.0
170,2,-0.54,-0.28
170,3,1.77,3.3
170,4,-0.25,0.49
170,5,-0.29,0.14
170,6,0.01,0.74
170,7,-0.21,-0.03
171,1,-0.34,0.0
171,2,7.04,3.75
171,3,-0.05,0.04
171,4,-0.5,-0.3
171,5,0.33,-0.08
171,6,0.38,0.14
171,7,0.24,0.16
172,1,0.0,0.0
172,2,-0.49,-0.49
172,3,-0.72,-0.95
172,4,-0.4,-0.38
172,5,-0.36,-0.17
172,6,-0.4,-0.37
172,7,-0.39,-0.29
173,1,0.0,0.0
173,2,0.0,2.63
173,3,14.8,1.58
173,4,146.66,13.28
173,5,67.74,37.0
173,6,98.88,20.72
173,7,64.21,21.24
174,1,0.0,0.0
174,2,-1.0,-0.23
174,3,-0.52,-0.26
174,4,-0.5,-0.31
174,5,-0.48,-0.29
174,6,-0.32,-0.16
174,7,-0.27,-0.2
175,1,0.0,0.0
175,2,-0.58,-0.35
175,3,-1.04,-0.48
175,4,-1.03,-0.42
175,5,-1.52,-0.36
175,6,-1.11,-0.55
175,7,-0.92,-0.58
176,1,0.0,0.0
176,2,-0.5,0.46
176,3,-0.28,0.41
176,4,-1.14,-0.25
176,5,-0.8,-0.28
176,6,0.12,-0.15
176,7,1.07,-0.0
177,1,0.0,0.0
177,2,-0.4,-0.58
177,3,1.61,1.67
177,4,2.33,1.89
177,5,5.24,0.79
177,6,1.36,0.39
177,7,1.86,0.67
178,1,0.0,0.0
178,2,-0.38,-0.25
178,3,-0.45,-0.29
178,4,-0.44,-0.38
178,5,-0.47,-0.46
178,6,-0.46,-0.61
178,7,-0.46,-0.59
179,1,0.0,0.0
179,2,-0.41,-0.37
179,3,0.37,-0.18
179,4,5.27,3.55
179,5,0.1,0.23
179,6,-0.03,-0.07
179,7,-0.69,-0.45
180,1,0.0,0.0
180,2,-1.05,-0.22
180,3,-0.86,-0.23
180,4,-0.66,-0.19
180,5,-0.56,-0.14
180,6,-0.65,-0.24
180,7,-0.65,-0.28
181,1,0.0,0.0
181,2,-0.57,-0.18
181,3,-0.57,-0.19
181,4,-0.56,-0.22
181,5,-0.3,0.15
181,6,-0.23,0.24
181,7,-0.2,0.19
182,1,0.0,0.0
182,2,-0.55,-0.27
182,3,-0.18,-0.32
182,4,0.14,-0.44
182,5,-0.01,-0.38
182,6,1.04,0.23
182,7,-0.58,-0.39
183,1,0.0,0.0
183,2,-0.41,-0.23
183,3,-0.36,-0.16
183,4,-0.38,0.25
183,5,-0.89,-0.19
183,6,-1.28,-0.44
183,7,-1.05,-0.5
184,1,0.0,0.0
184,2,0.0,-0.38
184,3,-0.47,-0.31
184,4,1.02,-0.17
184,5,-0.21,-0.49
184,6,-0.13,-0.8
184,7,0.15,-0.73
185,1,0.0,0.0
185,2,-0.07,0.76
185,3,-0.45,-0.34
185,4,-0.13,-0.19
185,5,-0.35,0.21
185,6,-0.41,-0.14
185,7,-0.49,-0.54
186,1,0.0,0.0
186,2,7.26,1.93
186,3,219.63,3.02
186,4,39.89,6.93
186,5,40.95,7.16
186,6,26.31,3.99
186,7,20.09,3.59
187,1,-0.45,0.0
187,2,-0.46,-0.49
187,3,-0.42,0.73
187,4,-0.44,0.06
187,5,-0.46,-0.23
187,6,-0.58,-0.39
187,7,-0.64,-0.46
188,1,-0.45,0.0
